Usia ,USIA,Jenis Kelamin,KELAMIN,Pekerjaan ,Pendidikan ,Pendapatan ,Kepemilikan Kendaraan,PENGALAMAN MENGGUNAKAN SOL,PENGALAMAN,Pengalaman/ Frekuensi Berkunjung (1 Tahun) ,Asal Perjalanan,Alasan Berkunjung,Tujuan Perjalanan ,Moda Transportasi Sering Digunakan ,Cara Mencapai Moda Transportasi ,Alasan Menggunakan Moda Transportasi ,X11,X12,X13,X14,X21,X22,X23,X24,X31,X32,X33,X41,X42,X43,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22
> 54 Tahun,5,Laki-laki,1,Pegawai Lepas/ kontrak,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Jawa Barat,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan, Kemudahan",4,5,5,5,4,5,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5
26 - 35 Tahun,2,Perempuan,2,IRT,D1 / D2/ D3,2 – 5 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Luar Pulau Jawa/ Via Kereta Bandara,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo",Becak/ Delman,Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Ramah Lingkungan, Pengalaman menarik, Kenyamanan, Kemudahan",5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Laki-laki,1,Tidak/  Belum Bekerja,SMA/ SMK,"< 1,9 Juta",Memiliki,Pernah,1,1 – 6 x setahun,Solo Raya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Waktu lebih singkat,4,4,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
46 - 54 Tahun,4,Perempuan,2,IRT ,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Jawa Timur,Mengunjungi Keluarga,Kawasan Malioboro,Becak/ Delman,Berjalan Kaki,Pengalaman menarik,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,7 – 12x setahun,Jawa Tengah,Wisata/ Rekreasi/ Kuliner,"Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)","Angkutan Umum (Bus, dll)","Biaya Murah, Keamanan, Ramah Lingkungan, Pengalaman menarik, Kemudahan",5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,3,4,4,3,5,4,5
12 - 25 Tahun,1,Perempuan,2,Pelajar/Mahasiswa,SMA/ SMK,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Barat,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan kendaraan lain,Biaya Murah,3,2,2,4,2,3,3,4,3,3,2,2,2,3,2,2,3,2,4,2,4,5,1,1,2,2
> 54 Tahun,5,Perempuan,2,ASN/TNI/Polri,S2,5 – 8 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan",5,4,4,5,4,5,4,3,5,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,2 – 5 Juta,Tidak Memiliki,Pernah,1,1 – 4x sebulan,Jawa Tengah,Bekerja,"Kawasan Malioboro, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Ramah Lingkungan, Kenyamanan, Kemudahan",3,4,5,5,5,5,4,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5
> 54 Tahun,5,Laki-laki,1,Wiraswasta,SMA/ SMK,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Solo Raya,Mengunjungi Keluarga,Rumah keluarga,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Kemudahan",1,1,1,3,5,5,5,5,1,1,1,3,2,2,1,4,4,4,4,5,5,5,3,3,2,3
26 - 35 Tahun,2,Laki-laki,1,Pelajar/Mahasiswa,S1,2 – 5 Juta,Memiliki,Belum,2,1 – 4x sebulan,Jawa Tengah,Wisata/ Rekreasi/ Kuliner,Hotel/ Penginapan,"Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)",Kesehatan,2,2,1,5,5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,5,5,5,4,4,3
36 - 45 Tahun,3,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)","Angkutan Umum (Bus, dll)","Biaya Murah, Kenyamanan",5,4,1,4,3,3,2,2,3,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMP,2 – 5 Juta,Tidak Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Biaya Murah, Pengalaman menarik",5,4,4,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,5 – 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Mengunjungi Keluarga,Rumah ,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Berjalan Kaki,Biaya Murah,3,4,3,5,5,4,3,4,4,3,4,3,4,4,4,3,4,3,4,3,3,4,4,4,3,4
26 - 35 Tahun,2,Laki-laki,1,Wiraswasta,SMA/ SMK,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Barat,Memang tinggal di Jogja,Rumah,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kenyamanan, Kemudahan",2,2,1,5,3,3,4,2,4,4,4,4,3,3,5,5,4,4,4,5,5,4,4,4,3,5
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Keamanan,5,5,4,4,4,4,4,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,3,4,4
36 - 45 Tahun,3,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,S1,> 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,D.I. Yogyakarta,Mengunjungi Keluarga,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Ramah Lingkungan, Pengalaman menarik, Kenyamanan, Kemudahan",5,5,5,5,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,5 – 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo",Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Menggunakan kendaraan lain,Kenyamanan,4,4,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,5 – 8 Juta,Memiliki,Pernah,1,7 – 12x setahun,Jawa Barat,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)","Angkutan Umum (Bus, dll)",Pengalaman menarik,4,4,4,5,4,4,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12 - 25 Tahun,1,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,"< 1,9 Juta",Memiliki,Pernah,1,2 - 7x seminggu,"Solo Raya (Karanganyar, Sukoharjo, Klaten, dll) melalui KRL Solo - Jogja",Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Biaya Murah, Keamanan",4,4,5,5,5,4,5,4,3,3,5,4,4,5,5,4,5,5,4,5,5,5,4,4,4,4
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,2 - 7x seminggu,Jawa Barat,Wisata/ Rekreasi/ Kuliner,"Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Keamanan",4,4,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Perempuan,2,IRT,SMA/ SMK,"< 1,9 Juta",Memiliki,Pernah,1,1 – 4x sebulan,"Solo Raya (Karanganyar, Sukoharjo, Klaten, dll) melalui KRL Solo - Jogja",Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Kemudahan,4,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Tidak Memiliki,Pernah,1,1 – 6 x setahun,"Jawa Tengah (Selain Karanganyar, Sukoharjo, Klaten)",Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Keamanan, Kemudahan",4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,S1,5 – 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kenyamanan, Kemudahan",5,5,5,5,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Perempuan,2,Tidak/  Belum Bekerja,S1,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,"Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Waktu lebih singkat,4,4,3,3,3,3,3,3,3,4,4,3,4,4,5,4,4,5,3,3,5,4,5,3,3,4
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,"< 1,9 Juta",Memiliki,Pernah,1,1 – 6 x setahun,D.I. Yogyakarta,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta","Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Waktu lebih singkat, Biaya Murah",5,3,4,5,1,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,"< 1,9 Juta",Memiliki,Pernah,1,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Angkutan Umum (Bus Trans Jogja, Damri, dll)",Menggunakan kendaraan lain,"Waktu lebih singkat, Biaya Murah, Ramah Lingkungan, Pengalaman menarik",5,5,3,5,1,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Keamanan, Kenyamanan, Kemudahan",5,4,5,4,3,3,3,3,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jakarta dan sekitarnya,Mengunjungi Keluarga,"Kawasan Malioboro, Hotel/ Penginapan, Pasar Beringharjo","Angkutan Umum (Bus Trans Jogja, Damri, dll)",Menggunakan kendaraan lain,"Biaya Murah, Keamanan, Kenyamanan, Kemudahan",5,5,5,5,2,1,1,1,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,3
> 54 Tahun,5,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,5 – 8 Juta,Memiliki,Belum,2,1 – 4x sebulan,D.I. Yogyakarta,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),"Telpon/ WA/ SMS, lainnya",Waktu lebih singkat,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12 - 25 Tahun,1,Perempuan,2,Tidak/  Belum Bekerja,SMA/ SMK,"< 1,9 Juta",Tidak Memiliki,Belum,2,1 – 4x sebulan,Jawa Barat,Pendidikan,Area Keraton Yogyakarta,"Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Keamanan, Pengalaman menarik, Kenyamanan, Kemudahan",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26 - 35 Tahun,2,Perempuan,2,IRT,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,"Solo Raya (Karanganyar, Sukoharjo, Klaten, dll) melalui KRL Solo - Jogja",Kegiatan Jual/ Beli/ Transaksi,"Kawasan Malioboro, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo",Becak/ Delman,Berjalan Kaki,"Waktu lebih singkat, Biaya Murah, Ramah Lingkungan, Kemudahan",5,5,4,5,4,4,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Laki-laki,1,Tidak/  Belum Bekerja,SMP,"< 1,9 Juta",Memiliki,Belum,2,1 – 6 x setahun,"Solo Raya (Karanganyar, Sukoharjo, Klaten, dll) melalui KRL Solo - Jogja",Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,Becak/ Delman,"Angkutan Umum (Bus, dll)","Biaya Murah, Ramah Lingkungan",2,2,2,2,5,5,5,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,2,2,4
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 6 x setahun,Jawa Timur,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Hotel/ Penginapan, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Pengalaman menarik",4,3,3,5,3,3,4,3,3,3,3,4,4,4,5,5,5,5,5,5,5,3,4,4,4,5
> 54 Tahun,5,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Tidak Memiliki,Pernah,1,1 – 4x sebulan,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Pengalaman menarik",5,4,5,5,4,4,4,2,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,5,4
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,5 – 8 Juta,Memiliki,Belum,2,7 – 12x setahun,Jawa Barat,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)",Becak/ Delman,Menggunakan kendaraan lain,"Biaya Murah, Ramah Lingkungan, Pengalaman menarik, Kenyamanan, Kemudahan",5,4,5,5,5,4,1,2,3,4,4,5,4,4,5,5,4,5,4,4,5,5,5,5,5,5
26 - 35 Tahun,2,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Tidak Memiliki,Pernah,1,1 – 6 x setahun,Jakarta dan sekitarnya,Mengunjungi Keluarga,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll)",Becak/ Delman,Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Ramah Lingkungan, Kemudahan",5,5,5,5,2,2,3,2,4,4,5,5,4,4,4,4,4,5,4,4,5,5,5,4,5,4
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,5 – 8 Juta,Memiliki,Pernah,1,7 – 12x setahun,D.I. Yogyakarta,Wisata/ Rekreasi/ Kuliner,"Kawasan Malioboro, Area Keraton Yogyakarta, Area Tugu Yogyakarta (Pasar Kranggan, dll), Pasar Beringharjo","Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Waktu lebih singkat, Biaya Murah, Keamanan, Ramah Lingkungan, Pengalaman menarik, Kenyamanan, Kemudahan",4,4,3,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Laki-laki,1,ASN/TNI/Polri,S1,> 8 Juta,Memiliki,Pernah,1,1 – 4x sebulan,"Jawa Tengah (Selain Karanganyar, Sukoharjo, Klaten)",Bekerja,"Kawasan Malioboro, Area Keraton Yogyakarta","Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Biaya Murah, Ramah Lingkungan, Pengalaman menarik, Kenyamanan",4,5,4,5,2,3,1,5,5,4,5,4,4,4,5,3,5,4,4,4,5,3,4,2,4,1
12 - 25 Tahun,1,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,2 – 5 Juta,Memiliki,Pernah,1,1 – 6 x setahun,"Jawa Tengah (Selain Karanganyar, Sukoharjo, Klaten)",Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kenyamanan, Kemudahan",4,3,3,5,3,4,2,2,4,4,4,5,4,4,5,5,5,4,5,5,5,5,4,4,4,4
12 - 25 Tahun,1,Perempuan,2,Pelajar/Mahasiswa,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Jawa Barat,Wisata/ Rekreasi/ Kuliner,Hotel/ Penginapan,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Kemudahan,5,5,4,4,3,4,4,2,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,5 – 8 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Jakarta dan sekitarnya,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Angkutan Umum (Bus Trans Jogja, Damri, dll)","Angkutan Umum (Bus, dll)","Waktu lebih singkat, Biaya Murah, Kenyamanan, Kemudahan",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,2 – 5 Juta,Memiliki,Belum,2,1 – 6 x setahun,Jawa Barat,Mengunjungi Keluarga,"Kawasan Malioboro, Hotel/ Penginapan, Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Keamanan, Kenyamanan, Kemudahan",4,5,3,5,4,1,1,1,4,5,5,4,3,3,3,5,4,5,5,5,4,5,5,5,5,5
12 - 25 Tahun,1,Perempuan,2,Tidak/  Belum Bekerja,SMA/ SMK,"< 1,9 Juta",Tidak Memiliki,Pernah,1,1 – 6 x setahun,Jawa Barat,Wisata/ Rekreasi/ Kuliner,Kawasan Malioboro,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kenyamanan",4,4,4,5,3,3,3,3,5,5,5,5,5,5,3,3,5,4,4,4,4,3,4,4,4,3
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,5 – 8 Juta,Memiliki,Pernah,1,1 – 6 x setahun,"Jawa Tengah (Selain Karanganyar, Sukoharjo, Klaten)",Bekerja,"Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Kemudahan",4,3,4,5,3,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Jawa Barat,Pendidikan,"Kawasan Malioboro, Area Keraton Yogyakarta",Kendaraan Pribadi (Parkir di Stasiun/ Dijemput),Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Keamanan, Ramah Lingkungan, Kenyamanan",4,4,4,4,3,3,3,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26 - 35 Tahun,2,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,5 – 8 Juta,Memiliki,Pernah,1,7 – 12x setahun,"Jawa Tengah (Selain Karanganyar, Sukoharjo, Klaten)",Bekerja,"Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Pengalaman menarik, Kenyamanan, Kemudahan",5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12 - 25 Tahun,1,Laki-laki,1,Swasta/Karyawan/BUMN/BUMD,SMA/ SMK,2 – 5 Juta,Memiliki,Pernah,1,1 – 4x sebulan,Jakarta dan sekitarnya,Ibadah,Area Keraton Yogyakarta,"Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),Biaya Murah,5,5,3,4,5,5,3,1,3,3,5,3,4,2,3,2,4,3,2,3,2,3,3,3,4,3
> 54 Tahun,5,Perempuan,2,Swasta/Karyawan/BUMN/BUMD,D1 / D2/ D3,2 – 5 Juta,Memiliki,Belum,2,7 – 12x setahun,"Solo Raya (Karanganyar, Sukoharjo, Klaten, dll) melalui KRL Solo - Jogja",Wisata/ Rekreasi/ Kuliner,"Area Tugu Yogyakarta (Pasar Kranggan, dll)","Kendaraan Sewa/ Transportasi  (Gojek, Grab, Taxi, dll)",Menggunakan Aplikasi (Gojek/ Grab/ lainnya),"Waktu lebih singkat, Biaya Murah, Keamanan, Kesehatan, Pengalaman menarik, Kenyamanan, Kemudahan",5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
